index,product_id,prediction
3000,413yEcY8cbL.jpg,48 centimetre
3001,413yEcY8cbL.jpg,"4 ,"
3002,413zMq9nnYL.jpg,120 cm(
3003,414++KqRsqL.jpg,12 fl oz (
3004,414+-2FQvtL.jpg,23 centimetre
3005,414+GGWKzgL.jpg,80.00 millimetre
3006,414+GGWKzgL.jpg,80 .
3007,414+zrh--2L.jpg,3 .
3008,414+zrh--2L.jpg,150
3009,414+zrh--2L.jpg,110
3010,414-Rd17x+L.jpg,1000 watt
3011,414-Rd17x+L.jpg,1000 watt
3012,414-Vfd71rL.jpg,4 inch
3013,414-WpLGMtL.jpg,20 awg
3014,414-WpLGMtL.jpg,3600 mah
3015,414-WpLGMtL.jpg,3.7 volt
3016,414-pFGNkIL.jpg,5 inch
3017,4140511yEAL.jpg,20 centimetre
3018,4140511yEAL.jpg,20 centimetre
3019,41409R9OfkL.jpg,12 volt
3020,4140WB69o+L.jpg,24.5 centimetre
3021,4140c7eamNL.jpg,2.56 inch
3022,41417sQ0LBL.jpg,120 volt
3023,4141bGawTML.jpg,33.5 inch
3024,4141fgBhZ1L.jpg,300 lbs
3025,4141pUm90dS.jpg,6 watt
3026,4141pYbP4VL.jpg,2 .
3027,4141pYbP4VL.jpg,26.01 inch
3028,41421ykQUHL.jpg,16 oz(
3029,4142EiQ-CtL.jpg,220 v/
3030,4142EiQ-CtL.jpg,2000 watt
3031,4142EiQ-CtL.jpg,2 .
3032,4142PhSSQFL.jpg,9.4 inch
3033,4142PhSSQFL.jpg,8.3 in(
3034,4142SV60C4L.jpg,1.95 watt
3035,4142SV60C4L.jpg,24 volt
3036,4142wRYq4DL.jpg,300 gram
3037,4143wunfg0S.jpg,9 centimetre
3038,4143wunfg0S.jpg,9 centimetre
3039,4144wCIG2XL.jpg,50
3040,4145Np0XkwL.jpg,18 centimetre
3041,4145ca6QvXS.jpg,8.27 inch
3042,4145ca6QvXS.jpg,8.27 inch
3043,4146Qdpt3UL.jpg,2.75 in /
3044,4146Qdpt3UL.jpg,7.27 in /
3045,4147Yw8H58L.jpg,1.76 lbs
3046,4148kWJLW-L.jpg,0.4 watt
3047,4148kWJLW-L.jpg,0 .
3048,4148psHXWmL.jpg,4.5 lbs
3049,4149AfwcJLL.jpg,12 inch/
3050,4149NR-8ytL.jpg,16 .
3051,4149R62C27S.jpg,1 .
3052,4149R62C27S.jpg,1.45 inch
3053,4149s1LFKrL.jpg,3.6 volt
3054,414AYpOUWQL.jpg,1000 pounds
3055,414AYpOUWQL.jpg,108 pounds
3056,414ArHQhkzL.jpg,None
3057,414ArHQhkzL.jpg,48
3058,414ArHQhkzL.jpg,12 volt
3059,414BRXzQ9rS.jpg,"4 ,"
3060,414Bk+gtYpL.jpg,330
3061,414BmW6BRDL.jpg,180 kilogram
3062,414Bml2gcuL.jpg,0.5 kilogram
3063,414E90j3xgL.jpg,15 fl oz (
3064,414EKGTqQ1L.jpg,22.5 centimetre
3065,414EO4rCY7L.jpg,70 centimetre
3066,414Eb4gVOaL.jpg,24 volt
3067,414ErjsxpjL.jpg,0.84 m
3068,414F7S+yC6L.jpg,14 oz (
3069,414FxzHmvoS.jpg,300 gram
3070,414FxzHmvoS.jpg,20 watt
3071,414GABnsuiL.jpg,5 .
3072,414GABnsuiL.jpg,5.11 in /
3073,414GBL4IQTL.jpg,6 oz(
3074,414GX6U8gtS.jpg,20 centimetre
3075,414GdAg1xJL.jpg,6.3 inch
3076,414GdAg1xJL.jpg,4.7 inch
3077,414GoBCrgbL.jpg,120 watt
3078,414GoBCrgbL.jpg,120 w—class i or ii
3079,414HMeX9J4L.jpg,6 volt
3080,414HNoTr-GL.jpg,17
3081,414HNoTr-GL.jpg,80 millimetre
3082,414HzTUYJtL.jpg,"120 mm,"
3083,414IUv1gORL.jpg,4.33 in /
3084,414IUv1gORL.jpg,3 .
3085,414IiEP0u7L.jpg,12.2 centimetre
3086,414IiEP0u7L.jpg,12 .
3087,414IxgFu5cL.jpg,300 pound
3088,414J295kUVL.jpg,175 cm /
3089,414JIiKhBZL.jpg,10 ounce
3090,414JRGAUDEL.jpg,2.95 inch
3091,414K1AKRjJL.jpg,2 gb
3092,414KUrJ3U2L.jpg,6.3 in /
3093,414LNESYjfL.jpg,25 millimetre
3094,414LaL+nqCL.jpg,16 oz.
3095,414LcH3MkKL.jpg,6.7 in /
3096,414MOyZFs0L.jpg,5 a
3097,414MOyZFs0L.jpg,1 .
3098,414MehewjTL.jpg,5.8 gram
3099,414Mp3IgwgS.jpg,100
