index,product_id,prediction
27200,5179XeB4TCL.jpg,10.23 inch
27201,5179bevEmQL.jpg,78 centimetre
27202,5179gjxHWPL.jpg,10 gram
27203,517AG7WeZQL.jpg,40
27204,517AG7WeZQL.jpg,15 .
27205,517AN4PXypL.jpg,96 centimetre
27206,517AN4PXypL.jpg,15.3 centimetre
27207,517AO4MlSLL.jpg,30 inch
27208,517AO4MlSLL.jpg,76.2 centimetre
27209,517APWarcQL.jpg,41
27210,517AWbWMe4L.jpg,8.8 inch
27211,517AWbWMe4L.jpg,2.7 inch
27212,517AYUMAhiL.jpg,3.5 centimetre
27213,517AfTuSlML.jpg,10 gram
27214,517Aku-jbAL.jpg,49 inches
27215,517Aku-jbAL.jpg,"The image provided does not contain any information regarding the depth of the TV. To determine the depth, one would typically look for a specification that states the thickness or provides a view from multiple angles to infer the depth. Since this detail is not visible in the given image, it cannot be accurately extracted."
27216,517Awlx9zeL.jpg,3 .
27217,517Axk4IN2S.jpg,58.5 centimetre
27218,517Axk4IN2S.jpg,30.5 centimetre
27219,517B3wlq0OL.jpg,28 millimetre
27220,517B674HhfL.jpg,53
27221,517BHSgAglL.jpg,220 volt
27222,517BS5YwLqL.jpg,45 centimetre
27223,517Bc6gC0UL.jpg,9 .
27224,517Bc6gC0UL.jpg,9 .
27225,517Bc6gC0UL.jpg,9 .
27226,517Be3wk+xL.jpg,62.4 centimetre
27227,517BqW1PZ4L.jpg,10 gram
27228,517BqW1PZ4L.jpg,10 gram
27229,517BqW1PZ4L.jpg,10 volt
27230,517BuDxJrtL.jpg,10 gram
27231,517BuDxJrtL.jpg,2 gram
27232,517C++jTOEL.jpg,26 centimetre
27233,517C++jTOEL.jpg,6 centimetre
27234,517C-KW8TzL.jpg,5 inch
27235,517C-KW8TzL.jpg,16 .
27236,517C0plJcGL.jpg,46
27237,517C6z9qSRL.jpg,30
27238,517C7dchQSL.jpg,206 mm/
27239,517C7dchQSL.jpg,28 centimetre
27240,517CAIpI5YL.jpg,8 .
27241,517CAIpI5YL.jpg,3
27242,517CGoj3CvL.jpg,11.5 centimetre
27243,517CInprxlL.jpg,1000 millimetre
27244,517CQfiROYL.jpg,10.6 in /
27245,517CRiobSgL.jpg,8 inches
27246,517CdEyAxvL.jpg,82
27247,517CdEyAxvL.jpg,1.82 m
27248,517CdEyAxvL.jpg,22
27249,517CgepV5LL.jpg,8.26 inch
27250,517Cn6BrlTL.jpg,26.0 centimetre
27251,517Cn6BrlTL.jpg,9.0 in /
27252,517CrEdXpUL.jpg,2 .
27253,517CrEdXpUL.jpg,2 .
27254,517CriowWgL.jpg,300
27255,517Cs6gYx0L.jpg,3.2 inch
27256,517CtOgp6oL.jpg,10.6 inch
27257,517D5bEUeBL.jpg,140
27258,517DJIg9q-L.jpg,15.5 centimetre
27259,517DMGe+h3L.jpg,50 centimetre
27260,517DMGe+h3L.jpg,70
27261,517DOHh7qGL.jpg,10 gram
27262,517DOb4x4VL.jpg,3 inch
27263,517DOb4x4VL.jpg,3 inch
27264,517DVSTl7LL.jpg,210
27265,517DVSTl7LL.jpg,142
27266,517Da+HfDeL.jpg,66 centimetre
27267,517Da+HfDeL.jpg,65
27268,517DetkEmsL.jpg,10 gram
27269,517DetkEmsL.jpg,1200 watt
27270,517DidAcb4L.jpg,12 volt
27271,517DidAcb4L.jpg,12 volt
27272,517DpO+-YRS.jpg,6.5 inch
27273,517Dq6RlJ2L.jpg,10 gram
27274,517Dy9Rhh6L.jpg,9.7 centimetre
27275,517Dy9Rhh6L.jpg,5 centimetre
27276,517E-3FW9GL.jpg,1.29 inch
27277,517E-3FW9GL.jpg,4.04 inch
27278,517E3cwToxL.jpg,12
27279,517E3cwToxL.jpg,9.5 centimetre
27280,517EBLVAfNL.jpg,90 centimetre
27281,517EBLVAfNL.jpg,90 centimetre
27282,517EEAVPuGL.jpg,13 .
27283,517EG4vukgL.jpg,32 centimetre
27284,517EG4vukgL.jpg,8.7 centimetre
27285,517EGgzO7JL.jpg,6.2 centimetre
27286,517EIWPa3pL.jpg,15 centimetre
27287,517EJw8VZPL.jpg,11 .
27288,517EdcIbBrL.jpg,36 inch
27289,517EjFouYBL.jpg,200 millimetre
27290,517EjFouYBL.jpg,30
27291,517EjFouYBL.jpg,20 millimetre
27292,517EtptAEQL.jpg,37 lbs
27293,517F0CGIG2L.jpg,10
27294,517F9TuTFsL.jpg,6 .
27295,517F9TuTFsL.jpg,6 inch
27296,517FD8b8n4L.jpg,6 .
27297,517FR+n6JkL.jpg,6 centimetre
27298,517FT6NELqL.jpg,1500 millimetre
27299,517FlIwEHbL.jpg,"20.7 "" ("
